target_id	length	eff_length	est_counts	tpm
Phatr3_Jdraft645.t1	2199	1924.17	3618	29.8089
Phatr3_EG01276.t1	366	97.6962	0	0
Phatr3_EG01277.t1	207	33.5303	9	4.25528
Phatr3_Jdraft1048.t1	1395	1120.17	909.103	12.8662
Phatr3_Jdraft1180.t1	1059	784.175	541.438	10.9461
Phatr3_EG02074.t1	3153	2878.17	2.61763	0.0144183
Phatr3_Jdraft1580.t1	1494	1219.17	416.562	5.41671
Phatr3_Jdraft1572.t1	1395	1120.17	5387.42	76.2461
Phatr3_EG01278.t1	273	42.359	91710.7	34323.9
Phatr3_Jdraft825.t1	1209	934.175	6531.37	110.841
Phatr3_Jdraft371.t1	951	676.175	340	7.97154
Phatr3_EG02073.t1	1068	793.175	16.9708	0.3392
Phatr3_EG01275.t1	394	122.504	69840.3	9038.09
Phatr3_Jdraft1166.t1	747	472.204	415.51	13.95
Phatr3_Jdraft223.t1	738	463.21	765	26.1822
Phatr3_Jdraft1571.t1	1560	1285.17	418.125	5.15782
Phatr3_EG02344.t1	7971	7696.17	5210	10.7321
Phatr3_Jdraft1581.t1	1035	760.175	1240.24	25.8651
Phatr3_Jdraft1579.t1	2547	2272.17	2702	18.8524
Phatr3_Jdraft1168.t1	990	715.175	272.851	6.04834
Phatr3_Jdraft1182.t1	1170	895.175	3448.05	61.0644
Phatr3_EG01274.t1	447	173.16	0	0
Phatr3_Jdraft1192.t1	1362	1087.17	2124.58	30.9811
Phatr3_Jdraft375.t1	306	55.7825	5161.63	1466.94
Phatr3_Jdraft1185.t1	807	532.198	336	10.0089
Phatr3_Jdraft1191.t1	990	715.175	643.149	14.2568
Phatr3_EG01242.t1	366	97.6962	34	5.51726
Phatr3_Jdraft1186.t1	945	670.175	2101.9	49.7217
Phatr3_Jdraft1583.t1	1548	1273.17	393	4.89358
Phatr3_Jdraft1189.t1	747	472.204	153.49	5.15317
Phatr3_Jdraft310.t1	1380	1105.17	3231	46.3477
Phatr3_Jdraft1587.t1	1560	1285.17	250.875	3.09469
Phatr3_EG01224.t1	636	361.281	69	3.0278
Phatr3_EG01225.t1	1407	1132.17	1046	14.6467
Phatr3_Jdraft1590.t1	5355	5080.17	2563.08	7.99846
Phatr3_EG01227.t1	591	316.364	0	0
Phatr3_EG02416.t1	867	592.191	0	0
Phatr3_Jdraft1197.t1	777	502.198	94	2.96739
Phatr3_Jdraft1591.t1	900	625.191	2690.72	68.2304
Phatr3_Jdraft18.t1	2169	1894.17	2974	24.8911
Phatr3_Jdraft1200.t1	3969	3694.17	86.0292	0.369191
Phatr3_Jdraft383.t1	1734	1459.17	1466.65	15.9346
Phatr3_Jdraft1211.t1	1299	1024.17	0	0
Phatr3_Jdraft1202.t1	4629	4354.17	0	0
Phatr3_EG02342.t1	4389	4114.17	2603.84	10.0335
Phatr3_Jdraft1212.t1	2184	1909.17	17	0.141165
Phatr3_Jdraft1210.t1	4642	4367.17	0	0
Phatr3_Jdraft391.t1	4521	4246.17	3671.7	13.7086
Phatr3_Jdraft1216.t1	1419	1144.17	952	13.1907
Phatr3_EG01248.t1	420	146.927	257	27.7302
Phatr3_Jdraft152.t1	1788	1513.17	540.5	5.66277
Phatr3_Jdraft392.t1	975	700.175	0	0
Phatr3_EG01249.t1	3429	3154.17	1	0.00502617
Phatr3_Jdraft1610.t1	840	565.191	1185	33.2388
Phatr3_Jdraft853.t1	729	454.216	2555.5	89.1942
Phatr3_Jdraft1601.t1	2289	2014.17	0	0
Phatr3_Jdraft252.t1	1029	754.175	697.5	14.662
Phatr3_Jdraft1600.t1	667	392.257	0	0
Phatr3_Jdraft1611.t1	2742	2467.17	1311.5	8.42735
Phatr3_Jdraft402.t1	1049	774.175	0	0
Phatr3_EG02340.t1	2148	1873.17	454.5	3.84661
Phatr3_EG01234.t1	1316	1041.17	0	0
Phatr3_Jdraft1233.t1	1971	1696.17	954	8.91662
Phatr3_EG01235.t1	1035	760.175	0	0
Phatr3_Jdraft1616.t1	1431	1156.17	429	5.88242
Phatr3_EG01236.t1	1428	1153.17	767	10.5444
Phatr3_Jdraft1613.t1	3753	3478.17	4172	19.0158
Phatr3_Jdraft866.t1	747	472.204	2736	91.8563
Phatr3_Jdraft278.t1	972	697.175	1398	31.7898
Phatr3_Jdraft315.t1	1611	1336.17	698.94	8.29276
Phatr3_Jdraft977.t1	1149	874.175	1551.51	28.137
Phatr3_Jdraft800.t1	954	679.175	287.595	6.7131
Phatr3_EG01250.t1	1341	1066.17	40.6931	0.605082
Phatr3_EG01251.t1	255	37.8501	3023	1266.18
Phatr3_Jdraft1548.t1	5466	5191.17	1.00905	0.00308156
Phatr3_Jdraft289.t1	624	349.285	942	42.7556
Phatr3_Jdraft1121.t1	1110	835.175	0	0
Phatr3_Jdraft206.t1	762	487.198	184	5.98735
Phatr3_Jdraft297.t1	312	58.9659	4059	1091.29
Phatr3_Jdraft1111.t1	876	601.191	434	11.4446
Phatr3_Jdraft1042.t1	342	78.5574	911	183.846
Phatr3_EG01252.t1	2637	2362.17	5.07055	0.0340303
Phatr3_Jdraft263.t1	510	235.538	629.709	42.384
Phatr3_Jdraft417.t1	948	673.175	332.937	7.84072
Phatr3_Jdraft1234.t1	2292	2017.17	1.03956	0.00817011
Phatr3_EG01230.t1	994	719.175	91.5142	2.01733
Phatr3_Jdraft1617.t1	1020	745.175	292.078	6.21389
Phatr3_EG01232.t1	249	36.8371	0	0
Phatr3_Jdraft1239.t1	2934	2659.17	2	0.0119236
