target_id	length	eff_length	est_counts	tpm
Phatr3_Jdraft645.t1	2199	1910.29	3192	38.6437
Phatr3_EG01276.t1	366	87.6621	0	0
Phatr3_EG01277.t1	207	37.021	61	38.1063
Phatr3_Jdraft1048.t1	1395	1106.29	2508	52.4294
Phatr3_Jdraft1180.t1	1059	770.289	939.204	28.1982
Phatr3_EG02074.t1	3153	2864.29	0	0
Phatr3_Jdraft1580.t1	1494	1205.29	292.356	5.60965
Phatr3_Jdraft1572.t1	1395	1106.29	2228.78	46.5922
Phatr3_EG01278.t1	273	41.1611	11912.4	6693.09
Phatr3_Jdraft825.t1	1209	920.289	15147.8	380.662
Phatr3_Jdraft371.t1	951	662.289	64	2.23485
Phatr3_EG02073.t1	1068	779.289	80.0523	2.37569
Phatr3_EG01275.t1	394	110.765	9920.63	2071.35
Phatr3_Jdraft1166.t1	747	458.314	187.207	9.44654
Phatr3_Jdraft223.t1	738	449.322	1434	73.8086
Phatr3_Jdraft1571.t1	1560	1271.29	243.053	4.42153
Phatr3_EG02344.t1	7971	7682.29	9472	28.5145
Phatr3_Jdraft1581.t1	1035	746.289	792.643	24.5633
Phatr3_Jdraft1579.t1	2547	2258.29	3451	35.3411
Phatr3_Jdraft1168.t1	990	701.289	287.309	9.47474
Phatr3_Jdraft1182.t1	1170	881.289	1959.61	51.424
Phatr3_EG01274.t1	447	159.834	0	0
Phatr3_Jdraft1192.t1	1362	1073.29	1064.22	22.9314
Phatr3_Jdraft375.t1	306	51.4648	4297.21	1931.04
Phatr3_Jdraft1185.t1	807	518.307	528	23.5593
Phatr3_Jdraft1191.t1	990	701.289	793.691	26.174
Phatr3_EG01242.t1	366	87.6621	750.954	198.115
Phatr3_Jdraft1186.t1	945	656.289	981.041	34.5706
Phatr3_Jdraft1583.t1	1548	1259.29	1858	34.1221
Phatr3_Jdraft1189.t1	747	458.314	131.793	6.65037
Phatr3_Jdraft310.t1	1380	1091.29	4421	93.6906
Phatr3_Jdraft1587.t1	1560	1271.29	97.9468	1.78181
Phatr3_EG01224.t1	636	347.36	72	4.79366
Phatr3_EG01225.t1	1407	1118.29	1452	30.0281
Phatr3_Jdraft1590.t1	5355	5066.29	1342	6.12601
Phatr3_EG01227.t1	591	302.442	0	0
Phatr3_EG02416.t1	867	578.289	0	0
Phatr3_Jdraft1197.t1	777	488.307	34	1.61028
Phatr3_Jdraft1591.t1	900	611.289	2777.05	105.064
Phatr3_Jdraft18.t1	2169	1880.29	1620	19.9253
Phatr3_Jdraft1200.t1	3969	3680.29	81.9477	0.514956
Phatr3_Jdraft383.t1	1734	1445.29	2641.38	42.266
Phatr3_Jdraft1211.t1	1299	1010.29	0	0
Phatr3_Jdraft1202.t1	4629	4340.29	0.00973113	5.18513e-05
Phatr3_EG02342.t1	4389	4100.29	11562.9	65.2181
Phatr3_Jdraft1212.t1	2184	1895.29	11	0.134225
Phatr3_Jdraft1210.t1	4642	4353.29	39.6468	0.210623
Phatr3_Jdraft391.t1	4521	4232.29	17991.7	98.3133
Phatr3_Jdraft1216.t1	1419	1130.29	993	20.3177
Phatr3_EG01248.t1	420	134.258	345	59.4286
Phatr3_Jdraft152.t1	1788	1499.29	999.5	15.4175
Phatr3_Jdraft392.t1	975	686.289	0	0
Phatr3_EG01249.t1	3429	3140.29	9.00312	0.0663038
Phatr3_Jdraft1610.t1	840	551.289	1881	78.9086
Phatr3_Jdraft853.t1	729	440.322	2926	153.681
Phatr3_Jdraft1601.t1	2289	2000.29	0.500065	0.00578161
Phatr3_Jdraft252.t1	1029	740.289	358	11.184
Phatr3_Jdraft1600.t1	667	378.342	0	0
Phatr3_Jdraft1611.t1	2742	2453.29	1707	16.0916
