target_id	length	eff_length	est_counts	tpm
Phatr3_Jdraft645.t1	2199	2000	2099	24.1302
Phatr3_EG01276.t1	366	167	124.141	17.0914
Phatr3_EG01277.t1	207	27.3759	3	2.5196
Phatr3_Jdraft1048.t1	1395	1196	2514.6	48.341
Phatr3_Jdraft1180.t1	1059	860	579.875	15.5029
Phatr3_EG02074.t1	3153	2954	0	0
Phatr3_Jdraft1580.t1	1494	1295	304.629	5.40854
Phatr3_Jdraft1572.t1	1395	1196	6635.03	127.553
Phatr3_EG01278.t1	273	74.5993	62226	19178.5
Phatr3_Jdraft825.t1	1209	1010	9457.1	215.285
Phatr3_Jdraft371.t1	951	752	202	6.17606
Phatr3_EG02073.t1	1068	869	84.5789	2.2378
Phatr3_EG01275.t1	394	195	62137	7326.45
Phatr3_Jdraft1166.t1	747	548	562.528	23.6016
Phatr3_Jdraft223.t1	738	539	153	6.52651
Phatr3_Jdraft1571.t1	1560	1361	383.597	6.4803
Phatr3_EG02344.t1	7971	7772	1554	4.59723
Phatr3_Jdraft1581.t1	1035	836	823.178	22.6394
Phatr3_Jdraft1579.t1	2547	2348	1281	12.5438
Phatr3_Jdraft1168.t1	990	791	53.1429	1.54471
Phatr3_Jdraft1182.t1	1170	971	3256.64	77.1133
Phatr3_EG01274.t1	447	248	0	0
Phatr3_Jdraft1192.t1	1362	1163	3779.97	74.7286
Phatr3_Jdraft375.t1	306	107.022	1210.9	260.145
Phatr3_Jdraft1185.t1	807	608	95	3.59251
Phatr3_Jdraft1191.t1	990	791	194.857	5.66393
Phatr3_EG01242.t1	366	167	704.74	97.0265
Phatr3_Jdraft1186.t1	945	746	1443.52	44.4899
Phatr3_Jdraft1583.t1	1548	1349	428	7.29474
Phatr3_Jdraft1189.t1	747	548	286.472	12.0193
Phatr3_Jdraft310.t1	1380	1181	823	16.0224
Phatr3_Jdraft1587.t1	1560	1361	172.403	2.91249
Phatr3_EG01224.t1	636	437	23	1.21011
Phatr3_EG01225.t1	1407	1208	430	8.18427
Phatr3_Jdraft1590.t1	5355	5156	276.339	1.23228
Phatr3_EG01227.t1	591	392	1.0104	0.0592632
Phatr3_EG02416.t1	867	668	0	0
Phatr3_Jdraft1197.t1	777	578	7	0.278451
Phatr3_Jdraft1591.t1	900	701	569.778	18.6881
Phatr3_Jdraft18.t1	2169	1970	2428	28.3374
Phatr3_Jdraft1200.t1	3969	3770	95.1824	0.580488
Phatr3_Jdraft383.t1	1734	1535	1559.33	23.3564
Phatr3_Jdraft1211.t1	1299	1100	0	0
Phatr3_Jdraft1202.t1	4629	4430	7.0078	0.0363711
