target_id	length	eff_length	est_counts	tpm
Phatr3_Jdraft645.t1	2199	1933.23	3762	42.0229
Phatr3_EG01276.t1	366	104.875	0	0
Phatr3_EG01277.t1	207	34.2323	38	23.9717
Phatr3_Jdraft1048.t1	1395	1129.23	1070.79	20.4772
Phatr3_Jdraft1180.t1	1059	793.235	917	24.9643
Phatr3_EG02074.t1	3153	2887.23	0	0
Phatr3_Jdraft1580.t1	1494	1228.23	440.797	7.75013
Phatr3_Jdraft1572.t1	1395	1129.23	2038.79	38.9889
Phatr3_EG01278.t1	273	43.4852	30277.6	15036
Phatr3_Jdraft825.t1	1209	943.235	8624.32	197.45
Phatr3_Jdraft371.t1	951	685.235	188	5.92475
Phatr3_EG02073.t1	1068	802.235	58.1963	1.56655
Phatr3_EG01275.t1	394	130.638	19622.4	3243.65
Phatr3_Jdraft1166.t1	747	481.303	239.179	10.7314
Phatr3_Jdraft223.t1	738	472.303	1344	61.4512
Phatr3_Jdraft1571.t1	1560	1294.23	207.39	3.4604
Phatr3_EG02344.t1	7971	7705.23	7359	20.6245
Phatr3_Jdraft1581.t1	1035	769.235	1046.5	29.3786
Phatr3_Jdraft1579.t1	2547	2281.23	3398	32.1666
Phatr3_Jdraft1168.t1	990	724.235	328.058	9.78189
Phatr3_Jdraft1182.t1	1170	904.235	2189.35	52.2861
Phatr3_EG01274.t1	447	182.057	0	0
Phatr3_Jdraft1192.t1	1362	1096.23	917.206	18.0682
Phatr3_Jdraft375.t1	306	59.0756	2878.68	1052.29
Phatr3_Jdraft1185.t1	807	541.264	634	25.2948
Phatr3_Jdraft1191.t1	990	724.235	736.942	21.9738
Phatr3_EG01242.t1	366	104.875	150	30.8867
Phatr3_Jdraft1186.t1	945	679.235	1068.21	33.9616
Phatr3_Jdraft1583.t1	1548	1282.23	1806	30.416
Phatr3_Jdraft1189.t1	747	481.303	131.821	5.91448
Phatr3_Jdraft310.t1	1380	1114.23	3611	69.9846
Phatr3_Jdraft1587.t1	1560	1294.23	96.6102	1.61199
