target_id	length	eff_length	est_counts	tpm
Phatr3_Jdraft645.t1	2199	2000	3157	40.1196
Phatr3_EG01276.t1	366	167	0	0
Phatr3_EG01277.t1	207	27.3759	6	5.57051
Phatr3_Jdraft1048.t1	1395	1196	989.501	21.0279
Phatr3_Jdraft1180.t1	1059	860	431.233	12.7446
Phatr3_EG02074.t1	3153	2954	1.41433	0.0121689
Phatr3_Jdraft1580.t1	1494	1295	1183.79	23.2337
Phatr3_Jdraft1572.t1	1395	1196	5861.52	124.563
Phatr3_EG01278.t1	273	74.5993	35169.4	11982.4
Phatr3_Jdraft825.t1	1209	1010	8340.3	209.881
Phatr3_Jdraft371.t1	951	752	86	2.90665
Phatr3_EG02073.t1	1068	869	86.5899	2.53256
Phatr3_EG01275.t1	394	195	40025.6	5216.93
Phatr3_Jdraft1166.t1	747	548	645.346	29.9312
Phatr3_Jdraft223.t1	738	539	215	10.1382
Phatr3_Jdraft1571.t1	1560	1361	535.598	10.0021
Phatr3_EG02344.t1	7971	7772	4569	14.9417
Phatr3_Jdraft1581.t1	1035	836	2484.43	75.5323
Phatr3_Jdraft1579.t1	2547	2348	2100	22.7318
Phatr3_Jdraft1168.t1	990	791	97.65	3.13767
Phatr3_Jdraft1182.t1	1170	971	3710.82	97.132
Phatr3_EG01274.t1	447	248	0	0
Phatr3_Jdraft1192.t1	1362	1163	2496.48	54.5583
Phatr3_Jdraft375.t1	306	107.022	719.698	170.919
Phatr3_Jdraft1185.t1	807	608	114	4.76555
Phatr3_Jdraft1191.t1	990	791	181.35	5.82711
Phatr3_EG01242.t1	366	167	211.327	32.1625
Phatr3_Jdraft1186.t1	945	746	1237.17	42.1505
Phatr3_Jdraft1583.t1	1548	1349	528	9.94795
Phatr3_Jdraft1189.t1	747	548	203.654	9.44549
Phatr3_Jdraft310.t1	1380	1181	1127	24.2541
Phatr3_Jdraft1587.t1	1560	1361	360.402	6.7304
Phatr3_EG01224.t1	636	437	62	3.60597
Phatr3_EG01225.t1	1407	1208	501	10.541
Phatr3_Jdraft1590.t1	5355	5156	2990.15	14.7398
Phatr3_EG01227.t1	591	392	1.00284	0.0650214
Phatr3_EG02416.t1	867	668	0	0
Phatr3_Jdraft1197.t1	777	578	9	0.395755
Phatr3_Jdraft1591.t1	900	701	1653.38	59.947
Phatr3_Jdraft18.t1	2169	1970	3179	41.0144
Phatr3_Jdraft1200.t1	3969	3770	58.5742	0.39489
Phatr3_Jdraft383.t1	1734	1535	1551.7	25.6928
Phatr3_Jdraft1211.t1	1299	1100	0	0
Phatr3_Jdraft1202.t1	4629	4430	3.3872	0.0194334
Phatr3_EG02342.t1	4389	4190	4971.44	30.1565
Phatr3_Jdraft1212.t1	2184	1985	12.4541	0.159465
Phatr3_Jdraft1210.t1	4642	4443	0.238164	0.00136242
Phatr3_Jdraft391.t1	4521	4322	8200.59	48.225
Phatr3_Jdraft1216.t1	1419	1220	780	16.2497
Phatr3_EG01248.t1	420	221	183	21.046
Phatr3_Jdraft152.t1	1788	1589	700	11.1966
Phatr3_Jdraft392.t1	975	776	0	0
Phatr3_EG01249.t1	3429	3230	1.72711	0.0135903
Phatr3_Jdraft1610.t1	840	641	714.5	28.3306
Phatr3_Jdraft853.t1	729	530	1706.5	81.8356
Phatr3_Jdraft1601.t1	2289	2090	2.62391	0.0319091
Phatr3_Jdraft252.t1	1029	830	582	17.822
Phatr3_Jdraft1600.t1	667	468	99.3825	5.39729
Phatr3_Jdraft1611.t1	2742	2543	1815	18.1402
Phatr3_Jdraft402.t1	1049	850	0	0
Phatr3_EG02340.t1	2148	1949	467.5	6.09651
Phatr3_EG01234.t1	1316	1117	2.12183	0.0482801
Phatr3_Jdraft1233.t1	1971	1772	634	9.09363
Phatr3_EG01235.t1	1035	836	0	0
Phatr3_Jdraft1616.t1	1431	1232	318	6.56037
Phatr3_EG01236.t1	1428	1229	536	11.0847
Phatr3_Jdraft1613.t1	3753	3554	3861	27.6118
Phatr3_Jdraft866.t1	747	548	2075	96.2386
Phatr3_Jdraft278.t1	972	773	1117	36.727
Phatr3_Jdraft315.t1	1611	1412	1086.54	19.558
Phatr3_Jdraft977.t1	1149	950	1414.44	37.8419
Phatr3_Jdraft800.t1	954	755	346.241	11.6558
Phatr3_EG01250.t1	1341	1142	84.9875	1.89148
Phatr3_EG01251.t1	255	58.2335	146	63.7223
Phatr3_Jdraft1548.t1	5466	5267	9.0665	0.043751
Phatr3_Jdraft289.t1	624	425	1466	87.6712
Phatr3_Jdraft1121.t1	1110	911	0	0
Phatr3_Jdraft206.t1	762	563	387	17.4709
Phatr3_Jdraft297.t1	312	113.011	521	117.174
Phatr3_Jdraft1111.t1	876	677	383	14.3788
