target_id	length	eff_length	est_counts	tpm
Phatr3_Jdraft645.t1	2199	1919.91	3686	30.9148
Phatr3_EG01276.t1	366	94.4609	0	0
Phatr3_EG01277.t1	207	33.8132	7	3.33353
Phatr3_Jdraft1048.t1	1395	1115.91	973.836	14.0524
Phatr3_Jdraft1180.t1	1059	779.908	507.902	10.4865
Phatr3_EG02074.t1	3153	2873.91	0	0
Phatr3_Jdraft1580.t1	1494	1214.91	408.939	5.4201
Phatr3_Jdraft1572.t1	1395	1115.91	3416.43	49.2987
Phatr3_EG01278.t1	273	41.1337	72077.6	28216
Phatr3_Jdraft825.t1	1209	929.908	5865.57	101.569
Phatr3_Jdraft371.t1	951	671.908	836	20.035
Phatr3_EG02073.t1	1068	788.908	68.6834	1.4019
Phatr3_EG01275.t1	394	118.914	59612.4	8072.28
Phatr3_Jdraft1166.t1	747	467.917	410.637	14.1313
Phatr3_Jdraft223.t1	738	458.917	627	22.0001
Phatr3_Jdraft1571.t1	1560	1280.91	458.062	5.75836
Phatr3_EG02344.t1	7971	7691.91	5733	12.0016
Phatr3_Jdraft1581.t1	1035	755.908	1451.02	30.9098
Phatr3_Jdraft1579.t1	2547	2267.91	2568	18.2331
Phatr3_Jdraft1168.t1	990	710.908	285.086	6.45735
Phatr3_Jdraft1182.t1	1170	890.908	3366.4	60.8451
Phatr3_EG01274.t1	447	169.244	0	0
Phatr3_Jdraft1192.t1	1362	1082.91	1875.57	27.8891
Phatr3_Jdraft375.t1	306	53.833	3790.43	1133.79
Phatr3_Jdraft1185.t1	807	527.917	406	12.3838
Phatr3_Jdraft1191.t1	990	710.908	543.914	12.3199
Phatr3_EG01242.t1	366	94.4609	19.3807	3.30377
Phatr3_Jdraft1186.t1	945	665.908	1782.78	43.1098
Phatr3_Jdraft1583.t1	1548	1268.91	706	8.95915
Phatr3_Jdraft1189.t1	747	467.917	187.363	6.44773
Phatr3_Jdraft310.t1	1380	1100.91	2220	32.4709
Phatr3_Jdraft1587.t1	1560	1280.91	240.938	3.02886
Phatr3_EG01224.t1	636	357.007	37	1.66885
Phatr3_EG01225.t1	1407	1127.91	603	8.60866
Phatr3_Jdraft1590.t1	5355	5075.91	4473.03	14.1899
Phatr3_EG01227.t1	591	312.059	905	46.6986
Phatr3_EG02416.t1	867	587.917	0	0
Phatr3_Jdraft1197.t1	777	497.917	33	1.06721
Phatr3_Jdraft1591.t1	900	620.917	2136.19	55.3984
Phatr3_Jdraft18.t1	2169	1889.91	2150	18.3185
Phatr3_Jdraft1200.t1	3969	3689.91	55.3166	0.241397
Phatr3_Jdraft383.t1	1734	1454.91	1826.32	20.2131
Phatr3_Jdraft1211.t1	1299	1019.91	0	0
Phatr3_Jdraft1202.t1	4629	4349.91	6.49351	0.0240376
Phatr3_EG02342.t1	4389	4109.91	3719.33	14.5722
Phatr3_Jdraft1212.t1	2184	1904.91	3	0.0253594
Phatr3_Jdraft1210.t1	4642	4362.91	2.4039	0.00887223
Phatr3_Jdraft391.t1	4521	4241.91	5927.25	22.5001
Phatr3_Jdraft1216.t1	1419	1139.91	910.5	12.8618
Phatr3_EG01248.t1	420	143.108	323.5	36.4001
Phatr3_Jdraft152.t1	1788	1508.91	632	6.74445
Phatr3_Jdraft392.t1	975	695.908	0	0
Phatr3_EG01249.t1	3429	3149.91	1.00102	0.00511725
Phatr3_Jdraft1610.t1	840	560.917	1100.5	31.5925
Phatr3_Jdraft853.t1	729	449.924	3204	114.669
Phatr3_Jdraft1601.t1	2289	2009.91	0	0
Phatr3_Jdraft252.t1	1029	749.908	753.5	16.1796
Phatr3_Jdraft1600.t1	667	387.965	0	0
Phatr3_Jdraft1611.t1	2742	2462.91	1714.5	11.2094
Phatr3_Jdraft402.t1	1049	769.908	0	0
Phatr3_EG02340.t1	2148	1868.91	533.5	4.59662
Phatr3_EG01234.t1	1316	1036.91	0	0
Phatr3_Jdraft1233.t1	1971	1691.91	942	8.96533
Phatr3_EG01235.t1	1035	755.908	0	0
Phatr3_Jdraft1616.t1	1431	1151.91	448	6.26256
Phatr3_EG01236.t1	1428	1148.91	784	10.9881
Phatr3_Jdraft1613.t1	3753	3473.91	3766	17.4564
Phatr3_Jdraft866.t1	747	467.917	2310	79.4941
Phatr3_Jdraft278.t1	972	692.908	1032	23.9826
Phatr3_Jdraft315.t1	1611	1331.91	883.475	10.681
Phatr3_Jdraft977.t1	1149	869.908	1085.11	20.0859
Phatr3_Jdraft800.t1	954	674.908	299.923	7.15577
Phatr3_EG01250.t1	1341	1061.91	128.119	1.94277
Phatr3_EG01251.t1	255	37.0807	1985	861.995
Phatr3_Jdraft1548.t1	5466	5186.91	2.00593	0.0062273
Phatr3_Jdraft289.t1	624	345.017	925	43.1711
Phatr3_Jdraft1121.t1	1110	830.908	0	0
Phatr3_Jdraft206.t1	762	482.917	229	7.63581
Phatr3_Jdraft297.t1	312	56.8487	2072.5	587.038
Phatr3_Jdraft1111.t1	876	596.917	441.5	11.9099
Phatr3_Jdraft1042.t1	342	75.7667	1235	262.471
Phatr3_EG01252.t1	2637	2357.91	2.54507	0.0173806
Phatr3_Jdraft263.t1	510	231.352	442.315	30.7858
Phatr3_Jdraft417.t1	948	668.908	343.33	8.2649
Phatr3_Jdraft1234.t1	2292	2012.91	0	0
Phatr3_EG01230.t1	994	714.908	127.359	2.86862
Phatr3_Jdraft1617.t1	1020	740.908	300.326	6.5271
Phatr3_EG01232.t1	249	36.325	0	0
Phatr3_Jdraft1239.t1	2934	2654.91	0	0
Phatr3_EG01231.t1	543	264.197	20.7201	1.26286
Phatr3_EG01233.t1	363	92.001	0	0
Phatr3_Jdraft1241.t1	1629	1349.91	142	1.69385
Phatr3_Jdraft1240.t1	2436	2156.91	2113	15.7747
Phatr3_Jdraft1618.t1	1005	725.908	0	0
Phatr3_Jdraft1245.t1	1536	1256.91	72.9478	0.934546
Phatr3_Jdraft1619.t1	1708	1428.91	1098.12	12.3748
Phatr3_Jdraft420.t1	4981	4701.91	3607.61	12.3548
Phatr3_EG01238.t1	348	80.2172	0	0
Phatr3_EG01237.t1	810	530.917	0	0
Phatr3_Jdraft1621.t1	1296	1016.91	190.825	3.02166
Phatr3_EG02418.t1	2760	2480.91	0	0
Phatr3_EG01239.t1	357	87.2127	0	0
Phatr3_EG01241.t1	258	37.5399	0	0
Phatr3_EG01240.t1	186	35.267	0	0
Phatr3_EG02419.t1	954	674.908	0	0
Phatr3_Jdraft1622.t1	363	92.001	1180.86	206.68
Phatr3_Jdraft1248.t1	667	387.965	445.342	18.4839
Phatr3_Jdraft436.t1	975	695.908	0	0
Phatr3_EG01253.t1	420	143.108	323.5	36.4001
Phatr3_Jdraft1259.t1	840	560.917	1100.5	31.5925
Phatr3_Jdraft165.t1	1788	1508.91	632	6.74445
Phatr3_Jdraft1251.t1	1419	1139.91	910.5	12.8618
Phatr3_Jdraft439.t1	1049	769.908	0	0
Phatr3_Jdraft1252.t1	2067	1787.91	8752	78.8232
Phatr3_Jdraft430.t1	990	710.908	280	6.34215
Phatr3_EG01254.t1	3429	3149.91	1.00102	0.00511725
Phatr3_EG02341.t1	2148	1868.91	533.5	4.59662
Phatr3_Jdraft1249.t1	2289	2009.91	0	0
Phatr3_Jdraft313.t1	1029	749.908	753.5	16.1796
Phatr3_Jdraft1000.t1	2742	2462.91	1714.5	11.2094
Phatr3_Jdraft998.t1	729	449.924	3204	114.669
Phatr3_Jdraft1265.t1	3424	3144.91	552.801	2.83043
Phatr3_Jdraft1277.t1	1533	1253.91	142.889	1.83495
Phatr3_Jdraft1628.t1	1866	1586.91	1369	13.8913
Phatr3_Jdraft453.t1	1413	1133.91	306	4.34546
Phatr3_Jdraft218.t1	699	419.942	1732	66.4126
Phatr3_EG01261.t1	1872	1592.91	6	0.060653
Phatr3_Jdraft1626.t1	978	698.908	2518	58.0133
Phatr3_Jdraft877.t1	1023	743.908	1325	28.6806
Phatr3_Jdraft1623.t1	3534	3254.91	167.144	0.826885
Phatr3_Jdraft1274.t1	759	479.917	546	18.3197
Phatr3_Jdraft870.t1	1380	1100.91	2193	32.076
Phatr3_Jdraft1624.t1	3594	3314.91	790.206	3.8385
Phatr3_Jdraft462.t1	1989	1709.91	1043.11	9.82313
Phatr3_Jdraft1631.t1	3533	3253.91	554.446	2.74376
Phatr3_Jdraft1281.t1	339	73.5956	5	1.09398
Phatr3_Jdraft1284.t1	2484	2204.91	434.491	3.17309
Phatr3_Jdraft1633.t1	2014	1734.91	3247	30.1369
Phatr3_Jdraft1280.t1	315	58.5058	1	0.275229
Phatr3_EG01244.t1	591	312.059	0	0
Phatr3_Jdraft1637.t1	4107	3827.91	190	0.799253
Phatr3_EG01243.t1	183	35.4733	0	0
Phatr3_Jdraft1639.t1	900	620.917	3819	99.0394
Phatr3_Jdraft1291.t1	1059	779.908	1	0.0206466
Phatr3_Jdraft1287.t1	984	704.908	105	2.39855
Phatr3_EG02339.t1	5942	5662.91	528.059	1.50153
Phatr3_Jdraft1638.t1	1647	1367.91	1947	22.9193
Phatr3_Jdraft1294.t1	900	620.917	0	0
Phatr3_Jdraft1293.t1	2682	2402.91	0	0
Phatr3_Jdraft1640.t1	2109	1829.91	157.005	1.38158
Phatr3_EG02420.t1	474	195.701	4	0.329123
Phatr3_Jdraft1292.t1	645	365.997	6	0.263977
Phatr3_EG02338.t1	4457	4177.91	1114.89	4.297
Phatr3_EG02337.t1	4457	4177.91	1114.89	4.297
Phatr3_EG02360.t1	3693	3413.91	362762	1711.05
Phatr3_EG01351.t1	267	39.5759	0	0
Phatr3_Jdraft1682.t1	2784	2504.91	364.005	2.33996
Phatr3_EG01353.t1	1116	836.908	498	9.58172
Phatr3_Jdraft1656.t1	4137	3857.91	2216	9.24932
Phatr3_EG01349.t1	954	674.908	0	0
Phatr3_Jdraft1317.t1	906	626.917	640	16.4385
Phatr3_Jdraft1354.t1	3762	3482.91	16.6686	0.0770636
Phatr3_Jdraft1641.t1	1333	1053.91	674.182	10.3007
Phatr3_EG02363.t1	2328	2048.91	2350	18.4687
Phatr3_Jdraft1311.t1	819	539.917	658	19.6242
Phatr3_Jdraft1668.t1	1389	1109.91	10	0.145079
Phatr3_Jdraft1316.t1	2223	1943.91	2660	22.0342
Phatr3_Jdraft1643.t1	2217	1937.91	666.586	5.53879
Phatr3_Jdraft497.t1	2700	2420.91	777	5.16815
Phatr3_Jdraft1667.t1	1323	1043.91	179	2.7611
Phatr3_EG01342.t1	246	36.0422	3	1.3403
Phatr3_Jdraft1662.t1	528	249.249	568	36.695
Phatr3_Jdraft1298.t1	5646	5366.91	6.55652	0.0196717
Phatr3_EG01345.t1	3663	3383.91	40.8025	0.19416
Phatr3_Jdraft1329.t1	2157	1877.91	113	0.968938
Phatr3_Jdraft1806.t1	1842	1562.91	46464.5	478.718
Phatr3_Jdraft270.t1	2004	1724.91	441	4.11685
Phatr3_Jdraft1645.t1	1533	1253.91	49689	638.097
Phatr3_EG01348.t1	534	255.238	118	7.44437
Phatr3_Jdraft116.t1	1764	1484.91	2045	22.1761
Phatr3_Jdraft1315.t1	1545	1265.91	292	3.71426
Phatr3_Jdraft1649.t1	1149	869.908	6007	111.193
Phatr3_Jdraft1655.t1	1610	1330.91	1974	23.8831
Phatr3_Jdraft1680.t1	2311	2031.91	215	1.70383
Phatr3_Jdraft1642.t1	1755	1475.91	394.552	4.30464
Phatr3_EG02358.t1	1833	1553.91	3123	32.3623
Phatr3_Jdraft1650.t1	1137	857.908	733	13.758
Phatr3_EG01340.t1	345	78.0006	172	35.5077
Phatr3_Jdraft1647.t1	2118	1838.91	80	0.700522
Phatr3_Jdraft1648.t1	2167	1887.91	2895	24.6922
Phatr3_Jdraft474.t1	2175	1895.91	4167	35.3914
Phatr3_EG02359.t1	2583	2303.91	4259	29.767
Phatr3_Jdraft1302.t1	4659	4379.91	2	0.00735287
Phatr3_EG02362.t1	4635	4355.91	5370	19.8512
Phatr3_EG02361.t1	1899	1619.91	2246	22.326
Phatr3_EG01343.t1	3015	2735.91	1068	6.28582
Phatr3_Jdraft1304.t1	474	195.701	3	0.246842
Phatr3_Jdraft1654.t1	4167	3887.91	2179	9.02471
Phatr3_EG01341.t1	435	157.625	0	0
Phatr3_Jdraft477.t1	249	36.325	1276	565.637
Phatr3_Jdraft1350.t1	1533	1253.91	624	8.01329
Phatr3_EG01344.t1	1413	1133.91	0	0
Phatr3_EG01354.t1	2880	2600.91	0	0
Phatr3_Jdraft1646.t1	1875	1595.91	8894.26	89.7416
Phatr3_Jdraft706.t1	924	644.908	1198	29.9124
Phatr3_EG01347.t1	333	69.5989	820	189.716
Phatr3_Jdraft1660.t1	1602	1322.91	25	0.3043
Phatr3_Jdraft1652.t1	5133	4853.91	2638	8.75136
Phatr3_EG01346.t1	1476	1196.91	0	0
Phatr3_Jdraft1303.t1	2241	1961.91	369	3.02859
Phatr3_EG01352.t1	954	674.908	366	8.7323
Phatr3_Jdraft719.t1	354	84.8235	1254	238.053
Phatr3_Jdraft465.t1	1122	842.908	242.009	4.62322
Phatr3_Jdraft1331.t1	1857	1577.91	94	0.959264
Phatr3_EG01350.t1	903	623.917	646	16.6724
Phatr3_EG01436.t1	309	55.3366	1383.47	402.577
Phatr3_Jdraft1717.t1	645	365.997	8959	394.162
Phatr3_EG01438.t1	210	33.7875	0	0
Phatr3_EG01431.t1	648	368.986	0	0
Phatr3_Jdraft1724.t1	1977	1697.91	4920	46.6598
Phatr3_Jdraft1730.t1	2908	2628.91	2266	13.8796
Phatr3_Jdraft521.t1	1266	986.908	5424	88.4983
Phatr3_EG01442.t1	1281	1001.91	905	14.545
Phatr3_Jdraft1425.t1	1074	794.908	274	5.55042
Phatr3_EG01444.t1	198	34.6821	0	0
