target_id	length	eff_length	est_counts	tpm
Phatr3_Jdraft645.t1	2199	2000	2733	33.2636
Phatr3_EG01276.t1	366	167	307.356	44.8007
Phatr3_EG01277.t1	207	27.3759	11	9.78103
Phatr3_Jdraft1048.t1	1395	1196	3621.14	73.701
Phatr3_Jdraft1180.t1	1059	860	746.237	21.1222
Phatr3_EG02074.t1	3153	2954	3.76266	0.0310059
Phatr3_Jdraft1580.t1	1494	1295	223.625	4.2035
Phatr3_Jdraft1572.t1	1395	1196	5705.54	116.125
Phatr3_EG01278.t1	273	74.5993	32034.7	10453.1
Phatr3_Jdraft825.t1	1209	1010	3418.72	82.3953
Phatr3_Jdraft371.t1	951	752	81	2.62197
Phatr3_EG02073.t1	1068	869	133.583	3.7419
Phatr3_EG01275.t1	394	195	39837.3	4972.97
Phatr3_Jdraft1166.t1	747	548	704.696	31.3026
Phatr3_Jdraft223.t1	738	539	290	13.0969
Phatr3_Jdraft1571.t1	1560	1361	740.802	13.2496
Phatr3_EG02344.t1	7971	7772	2872	8.99521
Phatr3_Jdraft1581.t1	1035	836	927.889	27.0178
Phatr3_Jdraft1579.t1	2547	2348	2024	20.9832
Phatr3_Jdraft1168.t1	990	791	116.857	3.59616
Phatr3_Jdraft1182.t1	1170	971	5811.46	145.689
Phatr3_EG01274.t1	447	248	0	0
Phatr3_Jdraft1192.t1	1362	1163	4610.46	96.4994
Phatr3_Jdraft375.t1	306	107.022	678.278	154.275
Phatr3_Jdraft1185.t1	807	608	126	5.0446
Phatr3_Jdraft1191.t1	990	791	292.143	8.99039
Phatr3_EG01242.t1	366	167	1090.02	158.883
Phatr3_Jdraft1186.t1	945	746	1158.49	37.8019
Phatr3_Jdraft1583.t1	1548	1349	274	4.94423
Phatr3_Jdraft1189.t1	747	548	308.304	13.6949
Phatr3_Jdraft310.t1	1380	1181	906	18.674
Phatr3_Jdraft1587.t1	1560	1361	350.198	6.26347
Phatr3_EG01224.t1	636	437	36	2.00531
Phatr3_EG01225.t1	1407	1208	701	14.1257
Phatr3_Jdraft1590.t1	5355	5156	634.864	2.99728
Phatr3_EG01227.t1	591	392	2.00677	0.124615
Phatr3_EG02416.t1	867	668	0	0
Phatr3_Jdraft1197.t1	777	578	37	1.55824
Phatr3_Jdraft1591.t1	900	701	1132.18	39.3149
Phatr3_Jdraft18.t1	2169	1970	3164	39.0958
Phatr3_Jdraft1200.t1	3969	3770	169.4	1.09379
Phatr3_Jdraft383.t1	1734	1535	2385.63	37.8316
Phatr3_Jdraft1211.t1	1299	1100	2.00663	0.0444053
Phatr3_Jdraft1202.t1	4629	4430	12.1059	0.06652
Phatr3_EG02342.t1	4389	4190	2205.38	12.8124
Phatr3_Jdraft1212.t1	2184	1985	26.1063	0.320144
Phatr3_Jdraft1210.t1	4642	4443	2.62244	0.0143678
Phatr3_Jdraft391.t1	4521	4322	1984.52	11.1771
Phatr3_Jdraft1216.t1	1419	1220	485	9.67702
Phatr3_EG01248.t1	420	221	242	26.6553
Phatr3_Jdraft152.t1	1788	1589	568	8.7013
Phatr3_Jdraft392.t1	975	776	0	0
Phatr3_EG01249.t1	3429	3230	0.508015	0.00382855
Phatr3_Jdraft1610.t1	840	641	1333	50.6212
Phatr3_Jdraft853.t1	729	530	2884	132.458
Phatr3_Jdraft1601.t1	2289	2090	6.71581	0.0782189
Phatr3_Jdraft252.t1	1029	830	747.5	21.9226
Phatr3_Jdraft1600.t1	667	468	143.366	7.45696
Phatr3_Jdraft1611.t1	2742	2543	1067.5	10.2184
Phatr3_Jdraft402.t1	1049	850	0	0
Phatr3_EG02340.t1	2148	1949	443.5	5.53913
Phatr3_EG01234.t1	1316	1117	0	0
Phatr3_Jdraft1233.t1	1971	1772	349	4.79426
Phatr3_EG01235.t1	1035	836	0	0
Phatr3_Jdraft1616.t1	1431	1232	445	8.79244
Phatr3_EG01236.t1	1428	1229	708	14.023
Phatr3_Jdraft1613.t1	3753	3554	2828	19.3697
Phatr3_Jdraft866.t1	747	548	2733	121.4
Phatr3_Jdraft278.t1	972	773	1152	36.2771
Phatr3_Jdraft315.t1	1611	1412	1319.63	22.7498
Phatr3_Jdraft977.t1	1149	950	789.825	20.238
Phatr3_Jdraft800.t1	954	755	249.095	8.03117
Phatr3_EG01250.t1	1341	1142	5.07665	0.108211
Phatr3_EG01251.t1	255	58.2335	378	158.008
Phatr3_Jdraft1548.t1	5466	5267	37.2289	0.172059
Phatr3_Jdraft289.t1	624	425	1919	109.912
Phatr3_Jdraft1121.t1	1110	911	0	0
Phatr3_Jdraft206.t1	762	563	575	24.861
Phatr3_Jdraft297.t1	312	113.011	829.5	178.672
Phatr3_Jdraft1111.t1	876	677	517	18.5892
Phatr3_Jdraft1042.t1	342	143	3161	538.081
Phatr3_EG01252.t1	2637	2438	2.68782	0.0268365
Phatr3_Jdraft263.t1	510	311	350.393	27.4256
Phatr3_Jdraft417.t1	948	749	652.161	21.195
Phatr3_Jdraft1234.t1	2292	2093	3.00865	0.0349915
Phatr3_EG01230.t1	994	795	231.324	7.08294
Phatr3_Jdraft1617.t1	1020	821	526.614	15.6138
Phatr3_EG01232.t1	249	53.2273	0	0
Phatr3_Jdraft1239.t1	2934	2735	20	0.178005
Phatr3_EG01231.t1	543	344	84.1259	5.95293
Phatr3_EG01233.t1	363	164	1	0.148428
Phatr3_Jdraft1241.t1	1629	1430	62	1.0554
Phatr3_Jdraft1240.t1	2436	2237	1605	17.465
Phatr3_Jdraft1618.t1	1005	806	0	0
Phatr3_Jdraft1245.t1	1536	1337	30.9009	0.5626
Phatr3_Jdraft1619.t1	1708	1509	1965.1	31.6997
Phatr3_Jdraft420.t1	4981	4782	7031.08	35.7909
Phatr3_EG01238.t1	348	149	0	0
Phatr3_EG01237.t1	810	611	0	0
Phatr3_Jdraft1621.t1	1296	1097	555.923	12.3358
Phatr3_EG02418.t1	2760	2561	21.286	0.202322
Phatr3_EG01239.t1	357	158	0	0
Phatr3_EG01241.t1	258	60.8345	0	0
Phatr3_EG01240.t1	186	20.1432	0	0
Phatr3_EG02419.t1	954	755	0	0
Phatr3_Jdraft1622.t1	363	164	576.476	85.5653
Phatr3_Jdraft1248.t1	667	468	143.366	7.45696
Phatr3_Jdraft436.t1	975	776	0	0
Phatr3_EG01253.t1	420	221	242	26.6553
Phatr3_Jdraft1259.t1	840	641	1333	50.6212
Phatr3_Jdraft165.t1	1788	1589	568	8.7013
Phatr3_Jdraft1251.t1	1419	1220	485	9.67702
Phatr3_Jdraft439.t1	1049	850	0	0
Phatr3_Jdraft1252.t1	2067	1868	9919	129.256
Phatr3_Jdraft430.t1	990	791	635	19.5415
Phatr3_EG01254.t1	3429	3230	0.508015	0.00382855
Phatr3_EG02341.t1	2148	1949	443.5	5.53913
Phatr3_Jdraft1249.t1	2289	2090	6.71581	0.0782189
Phatr3_Jdraft313.t1	1029	830	747.5	21.9226
Phatr3_Jdraft1000.t1	2742	2543	1067.5	10.2184
Phatr3_Jdraft998.t1	729	530	2884	132.458
Phatr3_Jdraft1265.t1	3424	3225	1241.31	9.3694
Phatr3_Jdraft1277.t1	1533	1334	372.678	6.80045
Phatr3_Jdraft1628.t1	1866	1667	1641	23.9625
Phatr3_Jdraft453.t1	1413	1214	438	8.78244
Phatr3_Jdraft218.t1	699	500	2056	100.095
Phatr3_EG01261.t1	1872	1673	10.9575	0.159432
Phatr3_Jdraft1626.t1	978	779	2497	78.0263
Phatr3_Jdraft877.t1	1023	824	1072	31.6685
Phatr3_Jdraft1623.t1	3534	3335	394.252	2.87765
Phatr3_Jdraft1274.t1	759	560	286	12.4319
Phatr3_Jdraft870.t1	1380	1181	3060	63.0712
Phatr3_Jdraft1624.t1	3594	3395	1354.19	9.70958
Phatr3_Jdraft462.t1	1989	1790	1196.32	16.2688
Phatr3_Jdraft1631.t1	3533	3334	3553.76	25.9467
Phatr3_Jdraft1281.t1	339	140	14	2.43422
Phatr3_Jdraft1284.t1	2484	2285	595.735	6.34639
Phatr3_Jdraft1633.t1	2014	1815	1718	23.0413
Phatr3_Jdraft1280.t1	315	116.007	1	0.209834
Phatr3_EG01244.t1	591	392	0	0
Phatr3_Jdraft1637.t1	4107	3908	360	2.24237
Phatr3_EG01243.t1	183	19.3378	0	0
Phatr3_Jdraft1639.t1	900	701	3682	127.857
Phatr3_Jdraft1291.t1	1059	860	28.1072	0.795572
Phatr3_Jdraft1287.t1	984	785	1460	45.2734
Phatr3_EG02339.t1	5942	5743	2259.35	9.57646
Phatr3_Jdraft1638.t1	1647	1448	3449	57.9808
Phatr3_Jdraft1294.t1	900	701	0	0
Phatr3_Jdraft1293.t1	2682	2483	1	0.00980355
Phatr3_Jdraft1640.t1	2109	1910	57.1505	0.728361
Phatr3_EG02420.t1	474	275	6	0.531103
Phatr3_Jdraft1292.t1	645	446	0.17567	0.00958788
Phatr3_EG02338.t1	4457	4258	271.695	1.55323
Phatr3_EG02337.t1	4457	4258	271.695	1.55323
