target_id	length	eff_length	est_counts	tpm
Phatr3_Jdraft645.t1	2199	2000	2687	29.8626
Phatr3_EG01276.t1	366	167	176.153	23.4457
Phatr3_EG01277.t1	207	27.3759	7	5.68355
Phatr3_Jdraft1048.t1	1395	1196	3702.55	68.8112
Phatr3_Jdraft1180.t1	1059	860	871.028	22.5125
Phatr3_EG02074.t1	3153	2954	1.81589	0.0136637
Phatr3_Jdraft1580.t1	1494	1295	346.068	5.93993
Phatr3_Jdraft1572.t1	1395	1196	6123.88	113.811
Phatr3_EG01278.t1	273	74.5993	38598.4	11500.7
Phatr3_Jdraft825.t1	1209	1010	2822.39	62.1134
Phatr3_Jdraft371.t1	951	752	52	1.53701
Phatr3_EG02073.t1	1068	869	141.287	3.61386
Phatr3_EG01275.t1	394	195	47971.6	5468.14
Phatr3_Jdraft1166.t1	747	548	828.879	33.6202
Phatr3_Jdraft223.t1	738	539	383	15.7943
Phatr3_Jdraft1571.t1	1560	1361	667.059	10.8942
Phatr3_EG02344.t1	7971	7772	3419	9.77814
Phatr3_Jdraft1581.t1	1035	836	1497.15	39.806
Phatr3_Jdraft1579.t1	2547	2348	2326	22.0192
Phatr3_Jdraft1168.t1	990	791	69.9355	1.96522
Phatr3_Jdraft1182.t1	1170	971	6420.32	146.97
Phatr3_EG01274.t1	447	248	0	0
Phatr3_Jdraft1192.t1	1362	1163	5317.12	101.622
Phatr3_Jdraft375.t1	306	107.022	711.615	147.796
Phatr3_Jdraft1185.t1	807	608	129	4.71603
Phatr3_Jdraft1191.t1	990	791	201.065	5.65001
Phatr3_EG01242.t1	366	167	1073.85	142.928
Phatr3_Jdraft1186.t1	945	746	1352.45	40.297
Phatr3_Jdraft1583.t1	1548	1349	349	5.75047
Phatr3_Jdraft1189.t1	747	548	261.121	10.5913
Phatr3_Jdraft310.t1	1380	1181	972	18.2939
Phatr3_Jdraft1587.t1	1560	1361	277.941	4.53926
Phatr3_EG01224.t1	636	437	23	1.16987
Phatr3_EG01225.t1	1407	1208	524	9.64172
Phatr3_Jdraft1590.t1	5355	5156	712.265	3.07057
Phatr3_EG01227.t1	591	392	4.02558	0.228261
Phatr3_EG02416.t1	867	668	0	0
Phatr3_Jdraft1197.t1	777	578	16	0.615293
Phatr3_Jdraft1591.t1	900	701	1271.55	40.3185
Phatr3_Jdraft18.t1	2169	1970	3799	42.864
Phatr3_Jdraft1200.t1	3969	3770	170.869	1.00742
Phatr3_Jdraft383.t1	1734	1535	2842.81	41.1651
Phatr3_Jdraft1211.t1	1299	1100	0	0
Phatr3_Jdraft1202.t1	4629	4430	0	0
Phatr3_EG02342.t1	4389	4190	1996.48	10.5911
Phatr3_Jdraft1212.t1	2184	1985	14.7599	0.165277
Phatr3_Jdraft1210.t1	4642	4443	14.98	0.0749418
Phatr3_Jdraft391.t1	4521	4322	2705.73	13.9152
Phatr3_Jdraft1216.t1	1419	1220	533	9.71085
Phatr3_EG01248.t1	420	221	284	28.5638
Phatr3_Jdraft152.t1	1788	1589	631.5	8.83364
Phatr3_Jdraft392.t1	975	776	0	0
Phatr3_EG01249.t1	3429	3230	0.515929	0.0035504
Phatr3_Jdraft1610.t1	840	641	1476	51.1821
Phatr3_Jdraft853.t1	729	530	3153	132.232
Phatr3_Jdraft1601.t1	2289	2090	6.18852	0.0658159
Phatr3_Jdraft252.t1	1029	830	817	21.8793
Phatr3_Jdraft1600.t1	667	468	113.992	5.414
Phatr3_Jdraft1611.t1	2742	2543	1131.5	9.89004
Phatr3_Jdraft402.t1	1049	850	0	0
Phatr3_EG02340.t1	2148	1949	530.5	6.05011
Phatr3_EG01234.t1	1316	1117	3.71276	0.0738813
Phatr3_Jdraft1233.t1	1971	1772	357	4.47811
Phatr3_EG01235.t1	1035	836	0	0
Phatr3_Jdraft1616.t1	1431	1232	503	9.07501
Phatr3_EG01236.t1	1428	1229	651	11.7739
Phatr3_Jdraft1613.t1	3753	3554	3170	19.8259
Phatr3_Jdraft866.t1	747	548	2648	107.406
Phatr3_Jdraft278.t1	972	773	1437	41.3207
Phatr3_Jdraft315.t1	1611	1412	1470.84	23.1538
Phatr3_Jdraft977.t1	1149	950	1013.66	23.7171
Phatr3_Jdraft800.t1	954	755	304.328	8.95952
Phatr3_EG01250.t1	1341	1142	6.08815	0.118498
Phatr3_EG01251.t1	255	58.2335	498	190.084
Phatr3_Jdraft1548.t1	5466	5267	30.3141	0.12793
Phatr3_Jdraft289.t1	624	425	2204	115.269
Phatr3_Jdraft1121.t1	1110	911	0	0
Phatr3_Jdraft206.t1	762	563	626	24.7147
Phatr3_Jdraft297.t1	312	113.011	884	173.869
Phatr3_Jdraft1111.t1	876	677	485.5	15.9401
Phatr3_Jdraft1042.t1	342	143	3112	483.719
Phatr3_EG01252.t1	2637	2438	16.972	0.154735
Phatr3_Jdraft263.t1	510	311	369.053	26.3766
Phatr3_Jdraft417.t1	948	749	802.769	23.8231
Phatr3_Jdraft1234.t1	2292	2093	1.17328	0.0124602
Phatr3_EG01230.t1	994	795	195.065	5.45385
Phatr3_Jdraft1617.t1	1020	821	507.768	13.7471
Phatr3_EG01232.t1	249	53.2273	0	0
Phatr3_Jdraft1239.t1	2934	2735	29	0.235684
Phatr3_EG01231.t1	543	344	84.6487	5.46956
Phatr3_EG01233.t1	363	164	0	0
Phatr3_Jdraft1241.t1	1629	1430	70	1.08806
Phatr3_Jdraft1240.t1	2436	2237	1526	15.1628
Phatr3_Jdraft1618.t1	1005	806	0	0
Phatr3_Jdraft1245.t1	1536	1337	30.9532	0.514593
Phatr3_Jdraft1619.t1	1708	1509	2227.2	32.8066
Phatr3_Jdraft420.t1	4981	4782	8022.31	37.2889
Phatr3_EG01238.t1	348	149	0	0
Phatr3_EG01237.t1	810	611	1	0.0363788
Phatr3_Jdraft1621.t1	1296	1097	640.921	12.9864
Phatr3_EG02418.t1	2760	2561	11.1155	0.0964739
Phatr3_EG01239.t1	357	158	0	0
Phatr3_EG01241.t1	258	60.8345	0	0
Phatr3_EG01240.t1	186	20.1432	0	0
Phatr3_EG02419.t1	954	755	0	0
Phatr3_Jdraft1622.t1	363	164	519.05	70.3485
Phatr3_Jdraft1248.t1	667	468	113.992	5.414
Phatr3_Jdraft436.t1	975	776	0	0
Phatr3_EG01253.t1	420	221	284	28.5638
Phatr3_Jdraft1259.t1	840	641	1476	51.1821
Phatr3_Jdraft165.t1	1788	1589	631.5	8.83364
Phatr3_Jdraft1251.t1	1419	1220	533	9.71085
Phatr3_Jdraft439.t1	1049	850	0	0
Phatr3_Jdraft1252.t1	2067	1868	11538	137.292
Phatr3_Jdraft430.t1	990	791	672	18.8835
Phatr3_EG01254.t1	3429	3230	0.515929	0.0035504
Phatr3_EG02341.t1	2148	1949	530.5	6.05011
Phatr3_Jdraft1249.t1	2289	2090	6.18852	0.0658159
Phatr3_Jdraft313.t1	1029	830	817	21.8793
Phatr3_Jdraft1000.t1	2742	2543	1131.5	9.89004
Phatr3_Jdraft998.t1	729	530	3153	132.232
Phatr3_Jdraft1265.t1	3424	3225	1252.89	8.63524
Phatr3_Jdraft1277.t1	1533	1334	349.689	5.82662
Phatr3_Jdraft1628.t1	1866	1667	1885	25.1342
Phatr3_Jdraft453.t1	1413	1214	438	8.01947
Phatr3_Jdraft218.t1	699	500	2247	99.8903
Phatr3_EG01261.t1	1872	1673	25.3864	0.337284
Phatr3_Jdraft1626.t1	978	779	2136	60.9472
Phatr3_Jdraft877.t1	1023	824	1166	31.453
Phatr3_Jdraft1623.t1	3534	3335	409.129	2.72681
Phatr3_Jdraft1274.t1	759	560	191	7.58116
Phatr3_Jdraft870.t1	1380	1181	2930	55.1452
Phatr3_Jdraft1624.t1	3594	3395	1254.41	8.21275
Phatr3_Jdraft462.t1	1989	1790	1176.31	14.6069
Phatr3_Jdraft1631.t1	3533	3334	3600.21	24.0023
Phatr3_Jdraft1281.t1	339	140	20	3.17535
Phatr3_Jdraft1284.t1	2484	2285	626.635	6.09563
Phatr3_Jdraft1633.t1	2014	1815	1610	19.7169
Phatr3_Jdraft1280.t1	315	116.007	1	0.191604
Phatr3_EG01244.t1	591	392	0	0
Phatr3_Jdraft1637.t1	4107	3908	470	2.67321
Phatr3_EG01243.t1	183	19.3378	0	0
Phatr3_Jdraft1639.t1	900	701	3911	124.011
Phatr3_Jdraft1291.t1	1059	860	22.0191	0.569103
Phatr3_Jdraft1287.t1	984	785	1195	33.8367
Phatr3_EG02339.t1	5942	5743	2256.09	8.73186
Phatr3_Jdraft1638.t1	1647	1448	3769	57.8559
Phatr3_Jdraft1294.t1	900	701	0	0
Phatr3_Jdraft1293.t1	2682	2483	2.80116	0.0250756
Phatr3_Jdraft1640.t1	2109	1910	100.065	1.1645
Phatr3_EG02420.t1	474	275	6	0.484963
Phatr3_Jdraft1292.t1	645	446	11.6707	0.581639
Phatr3_EG02338.t1	4457	4258	275.976	1.44064
Phatr3_EG02337.t1	4457	4258	275.976	1.44064
Phatr3_EG02360.t1	3693	3494	58729.9	373.617
Phatr3_EG01351.t1	267	68.9638	0	0
Phatr3_Jdraft1682.t1	2784	2585	332.438	2.85851
Phatr3_EG01353.t1	1116	917	1238	30.0083
Phatr3_Jdraft1656.t1	4137	3938	2309	13.0328
Phatr3_EG01349.t1	954	755	0	0
Phatr3_Jdraft1317.t1	906	707	1358	42.6944
Phatr3_Jdraft1354.t1	3762	3563	0	0
Phatr3_Jdraft1641.t1	1333	1134	756.24	14.823
Phatr3_EG02363.t1	2328	2129	2931	30.6006
Phatr3_Jdraft1311.t1	819	620	214	7.67206
Phatr3_Jdraft1668.t1	1389	1190	33	0.616392
Phatr3_Jdraft1316.t1	2223	2024	2285	25.0938
Phatr3_Jdraft1643.t1	2217	2018	1157.11	12.7451
Phatr3_Jdraft497.t1	2700	2501	1807	16.0596
Phatr3_Jdraft1667.t1	1323	1124	267	5.28001
Phatr3_EG01342.t1	246	50.8321	0	0
Phatr3_Jdraft1662.t1	528	329	520	35.1316
Phatr3_Jdraft1298.t1	5646	5447	10.5908	0.0432176
Phatr3_EG01345.t1	3663	3464	208.259	1.33634
Phatr3_Jdraft1329.t1	2157	1958	253	2.87209
Phatr3_Jdraft1806.t1	1842	1643	153.132	2.07166
Phatr3_Jdraft270.t1	2004	1805	544	6.69903
Phatr3_Jdraft1645.t1	1533	1334	21264	354.307
Phatr3_EG01348.t1	534	335	378	25.0806
Phatr3_Jdraft116.t1	1764	1565	1176	16.7026
Phatr3_Jdraft1315.t1	1545	1346	269	4.44219
Phatr3_Jdraft1649.t1	1149	950	5806	135.845
Phatr3_Jdraft1655.t1	1610	1411	2849	44.8803
Phatr3_Jdraft1680.t1	2311	2112	317	3.33623
Phatr3_Jdraft1642.t1	1755	1556	552.995	7.89954
Phatr3_EG02358.t1	1833	1634	2707	36.8236
Phatr3_Jdraft1650.t1	1137	938	6059	143.578
Phatr3_EG01340.t1	345	146	781	118.902
Phatr3_Jdraft1647.t1	2118	1919	338	3.915
Phatr3_Jdraft1648.t1	2167	1968	5758	65.0334
Phatr3_Jdraft474.t1	2175	1976	4568	51.3842
Phatr3_EG02359.t1	2583	2384	13904	129.635
Phatr3_Jdraft1302.t1	4659	4460	11.096	0.0552997
Phatr3_EG02362.t1	4635	4436	7361	36.8838
Phatr3_EG02361.t1	1899	1700	2680	35.041
Phatr3_EG01343.t1	3015	2816	1047	8.26426
Phatr3_Jdraft1304.t1	474	275	26	2.10151
Phatr3_Jdraft1654.t1	4167	3968	4324	24.2217
Phatr3_EG01341.t1	435	236	0	0
Phatr3_Jdraft477.t1	249	53.2273	1466	612.194
Phatr3_Jdraft1350.t1	1533	1334	527	8.78102
Phatr3_EG01344.t1	1413	1214	0	0
Phatr3_EG01354.t1	2880	2681	2.83108	0.0234717
Phatr3_Jdraft1646.t1	1875	1676	3730.2	49.4707
Phatr3_Jdraft706.t1	924	725	1317	40.3774
Phatr3_EG01347.t1	333	134.001	1310	217.297
Phatr3_Jdraft1660.t1	1602	1403	41	0.649555
Phatr3_Jdraft1652.t1	5133	4934	1904	8.57744
Phatr3_EG01346.t1	1476	1277	0	0
Phatr3_Jdraft1303.t1	2241	2042	520	5.66028
Phatr3_EG01352.t1	954	755	502	14.7791
Phatr3_Jdraft719.t1	354	155	1161	166.491
Phatr3_Jdraft465.t1	1122	923	202.5	4.87656
Phatr3_Jdraft1331.t1	1857	1658	269	3.60627
Phatr3_EG01350.t1	903	704	908	28.6684
Phatr3_EG01436.t1	309	110.015	2435.37	492.042
Phatr3_Jdraft1717.t1	645	446	9604	478.638
Phatr3_EG01438.t1	210	28.6775	0	0
Phatr3_EG01431.t1	648	449	0	0
Phatr3_Jdraft1724.t1	1977	1778	2277	28.4657
Phatr3_Jdraft1730.t1	2908	2709	1353	11.1014
Phatr3_Jdraft521.t1	1266	1067	1627	33.8932
Phatr3_EG01442.t1	1281	1082	1292	26.5415
Phatr3_Jdraft1425.t1	1074	875	371	9.42445
Phatr3_EG01444.t1	198	23.9008	0	0
Phatr3_EG02374.t1	2001	1802	3598	44.3809
Phatr3_EG01433.t1	588	389	331	18.9133
Phatr3_EG01443.t1	213	30.0561	0	0
Phatr3_Jdraft1467.t1	1518	1319	60	1.01111
Phatr3_Jdraft1392.t1	1152	953	473	11.0321
Phatr3_Jdraft1748.t1	2410	2211	656	6.59485
Phatr3_Jdraft1436.t1	1038	839	146	3.86795
Phatr3_Jdraft542.t1	1155	956	13260	308.302
Phatr3_EG01448.t1	1881	1682	411	5.43133
Phatr3_Jdraft552.t1	2715	2516	4058	35.8502
Phatr3_Jdraft1024.t1	1695	1496	1073	15.9426
Phatr3_Jdraft1443.t1	1074	875	1449	36.8087
Phatr3_Jdraft1431.t1	3273	3074	2673	19.3279
Phatr3_Jdraft1731.t1	5682	5483	3444	13.9616
Phatr3_Jdraft1478.t1	1659	1460	80	1.21794
Phatr3_Jdraft1423.t1	1335	1136	566	11.0746
Phatr3_Jdraft1697.t1	1311	1112	945	18.8894
Phatr3_EG01432.t1	192	21.9082	0	0
Phatr3_Jdraft292.t1	3624	3425	5185	33.6495
Phatr3_Jdraft1737.t1	1047	848	6664	174.674
Phatr3_Jdraft1464.t1	1065	866	455	11.6784
Phatr3_Jdraft1391.t1	1536	1337	675.127	11.2239
Phatr3_Jdraft1373.t1	699	500	1592	70.7723
Phatr3_Jdraft559.t1	1524	1325	1689	28.3337
Phatr3_Jdraft1463.t1	969	770	501	14.4623
Phatr3_EG01428.t1	306	107.022	59	12.2538
Phatr3_Jdraft1387.t1	1029	830	1028	27.5299
Phatr3_Jdraft1453.t1	3792	3593	299.341	1.85182
Phatr3_Jdraft913.t1	1300	1101	5806	117.214
Phatr3_Jdraft79.t1	1503	1304	1722	29.3525
Phatr3_Jdraft1740.t1	2232	2033	1890	20.664
Phatr3_Jdraft1377.t1	1911	1712	288	3.7392
Phatr3_Jdraft1693.t1	852	653	525	17.8705
Phatr3_Jdraft1444.t1	1014	815	67	1.82729
Phatr3_Jdraft1746.t1	1383	1184	5586	104.867
Phatr3_Jdraft748.t1	2406	2207	4314	43.4478
Phatr3_Jdraft1732.t1	1452	1253	663.317	11.7669
Phatr3_Jdraft1437.t1	1674	1475	21	0.316459
Phatr3_Jdraft1747.t1	1494	1295	2852	48.9519
Phatr3_EG02375.t1	1620	1421	1394	21.8051
Phatr3_Jdraft1695.t1	3033	2834	1702	13.349
Phatr3_Jdraft509.t1	927	728	990	30.2269
Phatr3_EG01449.t1	333	134.001	2139	354.809
Phatr3_Jdraft1758.t1	2394	2195	21851.1	221.273
Phatr3_EG01435.t1	1062	863	3.17065	0.0816635
Phatr3_Jdraft1692.t1	944	745	2506	74.7678
Phatr3_Jdraft1441.t1	978	779	121.683	3.47202
Phatr3_Jdraft1718.t1	1614	1415	1563	24.5523
Phatr3_Jdraft1714.t1	882	683	1010	32.8693
Phatr3_Jdraft561.t1	1209	1010	3377	74.319
Phatr3_Jdraft1367.t1	738	539	1774	73.1568
Phatr3_EG01441.t1	624	425	7	0.3661
Phatr3_Jdraft1756.t1	2067	1868	1108.16	13.1861
Phatr3_Jdraft1390.t1	1971	1772	480.873	6.03193
Phatr3_EG01439.t1	216	31.5146	0	0
Phatr3_Jdraft1812.t1	1521	1322	2517	42.3196
Phatr3_Jdraft1735.t1	2700	2501	8903	79.1248
Phatr3_Jdraft144.t1	1293	1094	751	15.2585
Phatr3_Jdraft1691.t1	1308	1109	2581	51.7305
Phatr3_Jdraft765.t1	1428	1229	373	6.74601
Phatr3_Jdraft1372.t1	378	179	434	53.8923
Phatr3_Jdraft1734.t1	2251	2052	2288	24.7838
Phatr3_Jdraft1694.t1	1575	1376	488	7.883
Phatr3_Jdraft1750.t1	1659	1460	1302	19.822
Phatr3_Jdraft276.t1	1731	1532	1002	14.5378
Phatr3_Jdraft52.t1	1851	1652	581	7.81729
Phatr3_Jdraft955.t1	5399	5200	1675	7.15981
Phatr3_Jdraft1686.t1	2340	2141	3011	31.2597
Phatr3_EG02373.t1	3480	3281	2364	16.0152
Phatr3_EG01450.t1	261	63.4937	2	0.700148
Phatr3_EG01429.t1	600	401	1148	63.6338
Phatr3_Jdraft174.t1	1896	1697	1103	14.4472
Phatr3_Jdraft1723.t1	960	761	326	9.52189
Phatr3_Jdraft741.t1	1680	1481	895	13.4325
Phatr3_EG01447.t1	621	422	0	0
Phatr3_Jdraft1689.t1	2196	1997	16514	183.808
Phatr3_EG01445.t1	324	125.002	1	0.177817
Phatr3_Jdraft1472.t1	759	560	208	8.25592
Phatr3_Jdraft1749.t1	1902	1703	1091	14.2397
Phatr3_EG01430.t1	456	257	0	0
Phatr3_Jdraft224.t1	915	716	311	9.65467
Phatr3_Jdraft1418.t1	1359	1160	1111	21.2886
Phatr3_EG01451.t1	925	726	1306	39.985
Phatr3_EG01440.t1	426	227	205	20.0733
Phatr3_Jdraft1438.t1	2346	2147	23	0.238115
Phatr3_Jdraft1384.t1	1032	833	704	18.7853
Phatr3_Jdraft1374.t1	1911	1712	829	10.7632
Phatr3_Jdraft1023.t1	966	767	7817	226.535
Phatr3_EG02422.t1	3474	3275	4850	32.917
Phatr3_EG01434.t1	210	28.6775	0	0
Phatr3_Jdraft1393.t1	1476	1277	222	3.86413
Phatr3_Jdraft1820.t1	1108	909	1715	41.9363
Phatr3_Jdraft1725.t1	978	779	2401	68.5085
Phatr3_Jdraft1366.t1	591	392	255	14.4592
Phatr3_EG01437.t1	369	170	0	0
Phatr3_Jdraft1400.t1	1974	1775	1101	13.7873
Phatr3_EG02110.t1	3333	3134	5213	36.9725
Phatr3_Jdraft1396.t1	699	500	991	44.0548
Phatr3_Jdraft1684.t1	1863	1664	732	9.77795
Phatr3_Jdraft1435.t1	1215	1016	172	3.76292
Phatr3_Jdraft1380.t1	909	710	633	19.8169
Phatr3_Jdraft1398.t1	1431	1232	26	0.469086
Phatr3_Jdraft1446.t1	2112	1913	1264	14.6866
Phatr3_Jdraft780.t1	1707	1508	250	3.68493
Phatr3_Jdraft1704.t1	372	173	3540	454.828
Phatr3_Jdraft1757.t1	1068	869	3706.91	94.8161
Phatr3_Jdraft1699.t1	1546	1347	4520	74.5866
Phatr3_Jdraft920.t1	1791	1592	1290	18.011
Phatr3_Jdraft1025.t1	1254	1055	736	15.5066
Phatr3_Jdraft1395.t1	723	524	64	2.71481
Phatr3_Jdraft590.t1	1122	923	130.5	3.14267
Phatr3_EG01262.t1	324	125.002	221.21	39.3348
Phatr3_Jdraft1488.t1	5616	5417	73.8482	0.30302
Phatr3_Jdraft1759.t1	396	197	502.962	56.7491
Phatr3_EG01265.t1	306	107.022	0	0
Phatr3_EG02343.t1	2967	2768	351.562	2.8231
Phatr3_Jdraft1484.t1	2094	1895	0	0
Phatr3_Jdraft1481.t1	1626	1427	77	1.19938
Phatr3_EG01263.t1	228	38.1945	0	0
Phatr3_EG01266.t1	2475	2276	57.6639	0.563147
Phatr3_Jdraft1483.t1	5616	5417	41.223	0.169149
Phatr3_EG01264.t1	648	449	6.98901	0.345986
Phatr3_Jdraft1480.t1	1062	863	164.807	4.24477
Phatr3_Jdraft1479.t1	1596	1397	12	0.19093
Phatr3_EG01255.t1	1038	839	7.17124	0.189986
Phatr3_EG01258.t1	1359	1160	0	0
Phatr3_EG01259.t1	2847	2648	0	0
Phatr3_EG01256.t1	747	548	2976.25	120.72
Phatr3_Jdraft1491.t1	322	123.003	0	0
Phatr3_Jdraft1760.t1	1398	1199	338.143	6.2686
Phatr3_EG01260.t1	855	656	0	0
Phatr3_EG01257.t1	2637	2438	8.53611	0.0778245
Phatr3_Jdraft1761.t1	1362	1163	2995	57.2409
Phatr3_Jdraft1762.t1	5892	5693	3730.66	14.5658
Phatr3_Jdraft1493.t1	2320	2121	1099.66	11.5241
Phatr3_Jdraft1498.t1	1041	842	2695.73	71.1631
Phatr3_Jdraft598.t1	993	794	292.341	8.18387
Phatr3_Jdraft1500.t1	4044	3845	220.049	1.27207
Phatr3_EG02070.t1	1443	1244	0	0
Phatr3_Jdraft1763.t1	2433	2234	862	8.57658
Phatr3_EG01245.t1	1815	1616	18.5075	0.254563
Phatr3_EG01246.t1	432	233	0	0
Phatr3_Jdraft1499.t1	1215	1016	475	10.3918
Phatr3_EG02069.t1	2220	2021	0.172264	0.0018946
