target_id	length	eff_length	est_counts	tpm
Phatr3_Jdraft645.t1	2199	1923.37	4045	31.2732
Phatr3_EG01276.t1	366	96.6333	0	0
Phatr3_EG01277.t1	207	32.5365	13	5.94141
Phatr3_Jdraft1048.t1	1395	1119.37	1198.27	15.9183
Phatr3_Jdraft1180.t1	1059	783.371	502.866	9.54556
Phatr3_EG02074.t1	3153	2877.37	2	0.010336
Phatr3_Jdraft1580.t1	1494	1218.37	379.581	4.63278
Phatr3_Jdraft1572.t1	1395	1119.37	4967.13	65.9855
Phatr3_EG01278.t1	273	40.3434	91249.5	33633.8
Phatr3_Jdraft825.t1	1209	933.371	7481.97	119.201
Phatr3_Jdraft371.t1	951	675.371	342	7.5301
Phatr3_EG02073.t1	1068	792.371	64.1503	1.20389
Phatr3_EG01275.t1	394	121.553	77617.5	9495.32
Phatr3_Jdraft1166.t1	747	471.385	464.047	14.6387
Phatr3_Jdraft223.t1	738	462.385	869	27.9469
Phatr3_Jdraft1571.t1	1560	1284.37	387.694	4.48865
Phatr3_EG02344.t1	7971	7695.37	4759	9.19609
Phatr3_Jdraft1581.t1	1035	759.371	1298.4	25.4255
Phatr3_Jdraft1579.t1	2547	2271.37	2895	18.953
Phatr3_Jdraft1168.t1	990	714.371	362.419	7.54404
Phatr3_Jdraft1182.t1	1170	894.371	2371.91	39.4364
Phatr3_EG01274.t1	447	172.319	0	0
Phatr3_Jdraft1192.t1	1362	1086.37	2733.87	37.4211
Phatr3_Jdraft375.t1	306	54.0736	6038.03	1660.46
Phatr3_Jdraft1185.t1	807	531.385	356	9.96226
Phatr3_Jdraft1191.t1	990	714.371	611.581	12.7306
Phatr3_EG01242.t1	366	96.6333	38	5.84755
Phatr3_Jdraft1186.t1	945	669.371	2460.73	54.6657
Phatr3_Jdraft1583.t1	1548	1272.37	350	4.09045
Phatr3_Jdraft1189.t1	747	471.385	227.953	7.19096
Phatr3_Jdraft310.t1	1380	1104.37	3193	42.9933
Phatr3_Jdraft1587.t1	1560	1284.37	279.306	3.23376
Phatr3_EG01224.t1	636	360.404	67	2.76441
Phatr3_EG01225.t1	1407	1131.37	748	9.83136
Phatr3_Jdraft1590.t1	5355	5079.37	5007.15	14.6588
Phatr3_EG01227.t1	591	315.505	928	43.738
Phatr3_EG02416.t1	867	591.371	0	0
Phatr3_Jdraft1197.t1	777	501.385	44	1.30496
Phatr3_Jdraft1591.t1	900	624.371	2945.29	70.1458
Phatr3_Jdraft18.t1	2169	1893.37	2712	21.2996
Phatr3_Jdraft1200.t1	3969	3693.37	77.8497	0.313438
Phatr3_Jdraft383.t1	1734	1458.37	1590.44	16.2168
Phatr3_Jdraft1211.t1	1299	1023.37	0	0
Phatr3_Jdraft1202.t1	4629	4353.37	4.17926	0.0142755
Phatr3_EG02342.t1	4389	4113.37	2201.32	7.95797
Phatr3_Jdraft1212.t1	2184	1908.37	8	0.0623368
Phatr3_Jdraft1210.t1	4642	4366.37	1.91347	0.00651655
Phatr3_Jdraft391.t1	4521	4245.37	3490.07	12.2246
Phatr3_Jdraft1216.t1	1419	1143.37	1028	13.3697
Phatr3_EG01248.t1	420	146.125	316	32.1574
Phatr3_Jdraft152.t1	1788	1512.37	535.5	5.26524
Phatr3_Jdraft392.t1	975	699.371	0	0
Phatr3_EG01249.t1	3429	3153.37	3.97467	0.0187432
Phatr3_Jdraft1610.t1	840	564.371	1220.5	32.1581
Phatr3_Jdraft853.t1	729	453.385	3009.5	98.7062
Phatr3_Jdraft1601.t1	2289	2013.37	0	0
Phatr3_Jdraft252.t1	1029	753.371	834	16.4617
Phatr3_Jdraft1600.t1	667	391.395	0	0
